French,English
bureau,office
tiens,here
mis,placed
savais,knew
croire,believe
aucun,no
aimerais,would like to
pardon,sorry
minutes,minutes
train,train
première,first
histoire,history
arrêter,Stop
main,hand
pouvoir,power
demandé,request
aujourd'hui,today
compte,account
aura,will have
aide,help
arrivé,come
gros,large
belle,beautiful
cause,cause
leurs,their
chambre,bedroom
enfant,child
place,square
vont,will
seulement,only
terre,Earth
parlé,speak
filles,girls
donner,give
parti,left
loin,far
partie,part
longtemps,long time
pourrais,could
voici,here is
type,type
donné,given
affaire,case
demande,request
vers,towards
venu,came
