French,English
police,police
bureau,office
vers,towards
place,square
arrêter,Stop
type,type
revoir,meet again
parle,speak
mari,husband
minutes,minutes
mis,placed
premier,first
corps,body
croire,believe
chambre,bedroom
compte,account
trouve,find
mois,month
donner,give
histoire,history
pourrais,could
aucune,any
eux,them
voici,here is
vieux,old
nouvelle,new
donné,given
dirait,would say
arrivé,come
chercher,search
matin,morning
parti,left
tiens,here
demande,request
sois,be
car,because
jouer,to play
point,point
aimerais,would like to
parlé,speak
fin,end
pendant,while
pardon,sorry
suite,after
aura,will have
chérie,sweetheart
yeux,eyes
longtemps,long time
enfin,finally
boulot,job
laisser,let
vont,will
première,first
aujourd'hui,today
filles,girls
aide,help
belle,beautiful
plutôt,rather
cause,cause
laisse,leash
droit,law
donne,given
devant,in front of
train,train
venu,came
gros,large
genre,kind
aucun,no
mettre,to put
pouvoir,power
ville,city
affaire,case
étaient,were
attention,Warning
heures,hours
seulement,only
tellement,so much
chaque,each
savais,knew
compris,understood
loin,far
eau,water
